Date,Campaign type,Campaign name,Ad set name,Model,Unique leads,Cost,Clicks (all),CPC (all),Link clicks,CPC (cost per link click),Impressions,Reach,Unique clicks (all),CPM (cost per 1000 impressions),Cost per action (CPA),Inversion Planeada,CPL proyectado,Meta Leads,Meta Conversaciones,Meta Clicks,CPC proyectado,Meta Seguidores,CPS proyectado,Meta interacciones,CPE Proyectado,Meta Alcance,CPA alcance proyectado,CPMA proyectado,CPA proyectado
2024-09-01,BRANDING,Branding_HMC_CB100BONBONBUM_CPC_CLI_CARRUSEL_AGOSTOFB_$21.000.000,Branding_HMC_CIUDADES_PRINCIPALES_CB100BONBONBUM_CPC_CLI_CARRUSEL_AGOSTOFB_$21.000.000,,0,145727,3871,37.65,2465,59.12,222238,127219,3391,655.72,18.71,,,,,,,,,,,,,,
2024-09-01,BRANDING,Branding_HMC_CB100BONBONBUM_CPC_CLI_CARRUSEL_AGOSTOFB_$21.000.000,Branding_HMC_CIUDADES_RESTO_DEL_PAÍS_CB100BONBONBUM_CPC_CLI_CARRUSEL_AGOSTOFB_$21.000.000 - Copia,,0,264942,6398,41.41,4507,58.78,405489,205807,5592,653.39,18.88,,,,,,,,,,,,,,
2024-09-01,BRANDING,Branding_HMC_CB100BONBONBUM_CPC_CLI_CARRUSEL_AGOSTOFB_$21.000.000,Branding_HMC_CIUDADES_SECUNDARIAS_CB100BONBONBUM_CPC_CLI_CARRUSEL_AGOSTOFB_$21.000.000 -,,0,25515,630,40.5,439,58.12,39765,18821,562,641.64,18.5,,,,,,,,,,,,,,
2024-09-01,BRANDING,Branding_HMC_CB100_CPC_CLI_POST_SEPTIEMBRE_FB_$3000000,CB100_CPC_CLI_POST_DOMICILIARIO,DOMICILIARIOS + MOTOTAXISTAS+INDEPENDIENTES,0,48478,1197,40.5,1100,44.07,37218,28274,1172,1302.54,14.49,2500000.0,0.0,0.0,0.0,39683.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,BRANDING,Branding_HMC_CB100_CPC_CLI_POST_SEPTIEMBRE_FB_$3000000,CB100_CPC_CLI_POST_INDEPENDIENTE,DOMICILIARIOS + MOTOTAXISTAS+INDEPENDIENTES,0,10282,383,26.85,216,47.6,16286,14524,328,631.34,14.71,2500000.0,0.0,0.0,0.0,39683.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,BRANDING,Branding_HMC_CB100_CPC_CLI_POST_SEPTIEMBRE_FB_$3000000,CB100_CPC_CLI_POST_MOTOTAXI,DOMICILIARIOS + MOTOTAXISTAS+INDEPENDIENTES,0,19777,681,29.04,388,50.97,23572,20665,596,839.0,16.56,2500000.0,0.0,0.0,0.0,39683.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,BRANDING,Branding_HMC_CB100_CPE_INT_POST_SEPTIEMBRE4_FB_$1500000,CB100_CPE_INT_INDEPENDIENTE,INDEPENDIENTE,0,30784,435,70.77,64,481.0,12029,10261,401,2559.15,16.88,340000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2267.0,150.0,0.0,0.0,0.0,0.0
2024-09-01,BRANDING,Branding_HMC_CB100_CPE_INT_POST_SEPTIEMBRE4_FB_$1500000,CB100_CPE_INT_MOTOTAXISTA,MOTOTAXISTAS,0,23580,278,84.82,32,736.88,7498,6157,257,3144.84,17.2,580000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15263.0,38.0,0.0,0.0,0.0,0.0
2024-09-01,BRANDING,Branding_HMC_DIO-DLX_CPC_CLI_POST_SEPTIEMBRE_2024_FB_ $ 896.227,Brand Intereses DIO DLX,DIO-DLX,0,17467,124,140.86,67,260.7,29577,25310,106,590.56,80.87,896227.0,0.0,0.0,0.0,2212.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,BRANDING,Branding_HMC_DIO-STD_CPC_CLI_POST_SEPTIEMBRE_2024_FB_ $ 896.227,LED_STD_CPE_TRÁFICO_POST LAL TRAFICO SEPTIEMBRE 2024,DIO-STD,0,32328,1274,25.38,600,53.88,46288,38810,1027,698.41,16.66,896227.0,0.0,0.0,0.0,16647.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,BRANDING,Branding_HMC_GLADIADORES_VALLEDELCAUCA_CPC_CLI_POST_Agosto_2024_FB_$1000000,Branding_HMC_GLADIADORES_VALLEDELCAUCA_CPC_CLI_POST_Agosto_2024_FB_$1000000,,0,334423,1388,240.94,619,540.26,507535,472772,1345,658.92,122.1,,,,,,,,,,,,,,
2024-09-01,BRANDING,Branding_HMC_Marca_CPF_SEGUIDORES_POST_SEPTIEMBRE_2024_FB_ $ 1.886.792,Intereses Col,SEGUIDORES,0,73281,516,142.02,6,12213.5,66613,49695,502,1100.1,2.11,1886792.0,0.0,0.0,0.0,0.0,0.0,2165.0,453.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,BRANDING,Branding_HMC_WAVE_CPC_CLI_POST_SEPTIEMBRE_2024_FB_$1792000 - Copia,Intereses Nacional,WAVE,0,64947,1558,41.69,1052,61.74,140978,101632,1400,460.69,19.84,1792453.0,0.0,0.0,0.0,24554.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,BRANDING,Branding_HMC_X-BLADE_CPC_CLI_POST_SEPTIEMBRE_2024_FB_ $ 1.886.792,Intereses,X-BLADE,0,53532,1516,35.31,973,55.02,41932,37659,1267,1276.64,17.72,1886792.0,0.0,0.0,0.0,30432.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
